No.,title,link,Affiliation,Author in JPN,Author in ENG
1,渦の力学(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-01.pdf,工学院大学,今井 功,"IMAI, Isao"
2,力学系としての渦糸群(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-02.pdf,"東京大学理学部,東京大学理学部","木村 芳文,橋本 英典","Kimura, Yoshifumi,Hashimoto, Hidenori"
3,ヴォートンによる渦運動の研究(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-03.pdf,名古屋大学工学部,桑原 真二,"KUWABARA, Sinzi"
4,三次元離散渦法(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-04.pdf,東京大学工学部,白山 晋,"Shirayama, Susumu"
5,二次元ジェット・ウェイクの非線形安定性(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-05.pdf,"相模工業大学,日本原子力研究所,岡山大学工学部","水島 二郎,藤村 薫,柳瀬 真一郎[他]","Mizushima, Jiro,Fujimura, Kaoru,Yanase, Shinichiro"
6,平面Poiseuille流における撹乱の増幅・減衰過程の数値計算(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-06.pdf,"京都工芸繊維大学機械工学科,京都工芸繊維大学機械工学科","徳永 宏,宮川 浩","TOKUNAGA, Hiroshi,MIYAGAWA, Hiroshi"
7,層流から乱流への遷移のシミュレーション(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-07.pdf,東京大学工学部,河村 哲也,"KAWAMURA, Tetuya"
8,Fine Structure of Interaction of Shock Wave with Boundary Layer(Solutions of the Navier-Stokes Equations),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-08.pdf,"Department of Aeronautics, The University of Tokyo",大林 茂,"Obayashi, Shigeru"
9,円柱を過ぎる遷音速流(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-09.pdf,東京大学理学部,石井 克哉,"ISHII, Katsuya"
10,遠方場に生じる二つの球面衝撃波(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-10.pdf,"大阪大学基礎工学部,大阪大学基礎工学部","井上 良紀,辻村 裕次","Inoue, Yoshinori,Tujimura, Hiroji"
11,Computation of Thermal Convection with a Large Temperature Difference(Solutions of the Navier-Stokes Equations),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-11.pdf,"The Institute of Space and Astronautical Science,Department of Astronautical Science, University of Tokyo","桑原 邦郎,白山 晋","Kuwahara, Kunio,Shirayama, Susumu"
12,凝固のある流れの数値シミュレーション(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-12.pdf,"東京大学工学部,東京大学工学部","高橋 大輔,高見 穎郎","Takahashi, Daisuke,Takami, Hideo"
13,二、三の新しいタイプのMoffatt渦(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-13.pdf,名古屋大学工学部,金田 行雄,"Kaneda, Yukio"
14,Flow past two spheres located close to each other at small non-zero Reynolds number(Solutions of the Navier-Stokes Equations),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-14.pdf,"Faculty of Engineering, Nagoya University",ファルーク ムハマド・ウマル,"Farooq, Muhammad Umar"
15,同心円筒間の微小球のおそい運動(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-15.pdf,東京大学理学部,福本 康秀,"Fukumoto, Yasuhide"
16,やわらかい壁をもつ溝の中の非定常流 : 数値計算(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-16.pdf,"慶應義塾大学理工学部物理学科,慶應義塾大学理工学部物理学科","竹光 信正,松信 八十男","Takemitsu, Nobumasa,Matunobu, Yaso'o"
17,全開状態のバタフライ・バルブを過ぎる流れの粘性流モデル(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-17.pdf,"日本鋼管,京都大学工学部,京都大学工学部","矢田 明,桜井 健郎,武田 英徳","Yada, Akira,Sakurai, Takeo,Takeda, Hidenori"
18,粘性流体中を運動する天体の受ける抵抗(II)(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-18.pdf,"京都大学工学部,京都大学工学部,川崎重工業株式会社","武田 英徳,松田 卓也,沢田 恵介[他]","Takeda, Hidenori,Matsuda, Takuya,Sawada, Keisuke"
19,内部運動のある自己重力流体の力学平衡形状(ナビエ・ストークスの方程式の解),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/0539-19.pdf,"京都大学工学部,マックス・プランク研究所","蜂巣 泉,江里口 良治","Hachisu, Izumi,Eriguchi, Yoshiharu"
