No.,title,link,Affiliation,Author in JPN,Author in ENG
1,量子カオスと半古典論 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-1.pdf,東京都立大学理学研究科,首藤  啓,"Shudo, Akira"
2,量子カオスとナノサイエンス : 重力制御下での巨視的波束の量子干渉効果について (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-2.pdf,"大阪市立大学工学研究科,大阪市立大学工学研究科","中村  勝弘,中園  直史","Nakamura, Katsuhiro,Nakazono, Naofumi"
3,粗視化描像による量子カオス制御 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-3.pdf,"分子科学研究所,ボストン大学,東京理科大学","高見  利也,藤崎  弘士,宮寺  隆之","Takami, Toshiya,Fujisaki, Hiroshi,Miyadera, Takayuki"
4,区分線形システムの定常解における無限の過去と無限の未来について (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-4.pdf,茨城大学工学部機械工学科,今村  仁,"Imamura, Hitoshi"
5,ソリトン理論の最近の話題 : 超離散の応用と交通流 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-5.pdf,龍谷大学理工学部,西成  活裕,"Nishinari, Katsuhiro"
6,非線形格子における局在波動 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-6.pdf,京都大学工学研究科,川原  琢治,"kawahara, Takuji"
7,2-D Travelling Patterns (Developments and Applications of Dynamical Systems Theory),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-7.pdf,大阪大学基礎工学研究科,小川  知之,"Ogawa, Toshiyuki"
8,COMPUTABLE STARTING CONDITIONS FOR THE EXISTENCE OF NON-UNIFORMLY HYPERBOLIC SYSTEMS (Developments and Applications of Dynamical Systems Theory),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-8.pdf,京都大学理学研究科,高橋  博樹,"Takahashi, Hiroki"
9,Kapitza Pendulumの分岐制御 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-9.pdf,筑波大学機能工学系,藪野  浩司,"Yabuno, Hiroshi"
10,Conley index theory for slow-fast systems: multi-dimensional slow manifold (Developments and Applications of Dynamical Systems Theory),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-10.pdf,龍谷大学理工学部数理情報学科,岡  宏枝,"Oka, Hiroe"
11,細胞分化の動的モデルの解析 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-11.pdf,帝京科学大学理工学部,小室  元政,"Komuro, Motomasa"
12,A Sufficient Condition for Non-Existence of Symbolic Representation for Discrete Dynamical Systems (Developments and Applications of Dynamical Systems Theory),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-12.pdf,北見工業大学情報システム工学科,三波  篤郎,"Sannami, Atsuro"
13,古典クーロン三体問題 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-13.pdf,京都大学人間・環境学研究科,佐野  光貞,"Sano, Mitsusada M."
14,N-body Choreography on the Lemniscate (Developments and Applications of Dynamical Systems Theory),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-14.pdf,"北里大学一般教育部,静岡県立大学経営情報学部,東海大学理学部物理学科","藤原  俊朗,福田  宏,尾崎  浩司","Fujiwara, Toshiaki,Fukuda, Hiroshi,Ozaki, Hiroshi"
15,非同次ポテンシャルを持つ非線形格子の積分不可能性 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-15.pdf,日本電信電話コミュニケーション科学基礎研究所,吉村  和之,"Yoshimura, Kazuyuki"
16,ラグランジアン系とハミルトニアン系の幾何学的構造 : 解析力学の幾何学的方法への導入 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-16.pdf,早稲田大学理工学部,吉村  浩明,"Yoshimura, Hiroaki"
17,Templates forced by the Smale Horseshoe Trellises (Developments and Applications of Dynamical Systems Theory),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-17.pdf,"京都大学理学研究科,","金  英子,","Kin, Eiko,Collins, Pieter"
18,遅延フィードバックによるカオス制御 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-18.pdf,大阪大学基礎工学研究科,山本  茂,"Yamamoto, Shigeru"
19,無限あるいは有限時間区間上で定義された非周期軌道の不変多様体と制御 (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-19.pdf,岐阜大学工学部,矢ヶ崎  一幸,"Yagasaki, Kazuyuki"
20,サドル・センターを有するハミルトン系の非可積分性とカオス (力学系理論の展開と応用),http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/pdf/1369-20.pdf,岐阜大学工学部,矢ヶ崎  一幸,"Yagasaki, Kazuyuki"
